Company,Company Name,Company Category,Apps Analyzed,H1 Apps,H2 Apps,Net,Change Percent,Logo URL
verve.com,Verve Group,Ad Networks,52287,3,147,144,48,company-logos/verve.com/logo_200x200.jpeg
x3mads.com,X3M,Ad Networks,52287,33,47,14,0.4242,company-logos/x3mads.com/logo_200x200.jpeg
liveramp.com,LiveRamp,Analytics: Product,52287,30,42,12,0.4,company-logos/liveramp.com/logo_200x200.jpeg
linkedin.com,LinkedIn,Analytics: Product,52287,467,633,166,0.3555,company-logos/linkedin.com/logo_1024x538.jpeg
flarelane.com,Flarelane,Ad Networks,52287,19,23,4,0.2105,company-logos/flarelane.com/logo_200x200.jpeg
rive.app,Rive,Development Tools,52287,208,250,42,0.2019,company-logos/rive.app/logo_200x200.jpeg
adjoe-programmatic.com,AdJoe,Ad Networks,52287,135,162,27,0.2,company-logos/adjoe-programmatic.com/logo_200x200.jpeg
withpersona.com,WithPersona,Business Tools,52287,30,36,6,0.2,company-logos/withpersona.com/logo_200x200.jpeg
moloco.com,Moloco,Ad Networks,52287,2276,2718,442,0.1942,company-logos/moloco.com/logo_200x200.jpeg
zmaticoo.com,zMaticoo,Ad Networks,52287,202,238,36,0.1782,company-logos/zmaticoo.com/logo_200x200.jpeg
appier.com,Appier,Ad Networks,52287,25,29,4,0.16,company-logos/appier.com/logo_200x200.jpeg
ysonetwork.com,YSO Network,Ad Networks,52287,408,471,63,0.1544,company-logos/ysonetwork.com/logo_200x200.jpeg
paypal.com,PayPal,Business Tools,52287,912,1050,138,0.1513,company-logos/paypal.com/logo_200x200.jpeg
snapchat.com,Snap,Development Tools,52287,1231,1409,178,0.1446,company-logos/snapchat.com/logo_200x200.jpeg
pubmatic.com,PubMatic,Ad Networks,52287,977,1108,131,0.1341,company-logos/pubmatic.com/logo_200x200.jpeg
statsig.com,Statsig,Development Tools,52287,68,77,9,0.1324,company-logos/statsig.com/logo_200x200.jpeg
tradplusad.com,TradPlus,Ad Networks,52287,276,311,35,0.1268,company-logos/tradplusad.com/logo_200x200.jpeg
airbridge.io,AirBridge,Analytics: Attribution,52287,264,297,33,0.125,company-logos/airbridge.io/logo_200x200.jpeg
livekit.io,LiveKit,Business Tools,52287,76,85,9,0.1184,company-logos/livekit.io/logo_200x200.png
naver.com,Naver,Ad Networks,52287,65,72,7,0.1077,company-logos/naver.com/logo_200x200.jpeg
posthog.com,PostHog,Development Tools,52287,177,196,19,0.1073,company-logos/posthog.com/logo_200x200.jpeg
amazonaws.com,Amazon Web Services AWS,Development Tools,52287,84,93,9,0.1071,company-logos/amazonaws.com/logo_200x200.jpeg
cash.app,Cash App,Business Tools,52287,647,712,65,0.1005,company-logos/cash.app/logo_200x200.jpeg
quantummetric.com,Quantum Metric,Business Tools,52287,72,79,7,0.0972,company-logos/quantummetric.com/logo_200x200.jpeg
sfbx.io,SFBX,Ad Networks,52287,21,23,2,0.0952,company-logos/sfbx.io/logo_200x200.jpeg
zynga.com,Zynga,Ad Networks,52287,22,24,2,0.0909,company-logos/zynga.com/logo_200x200.jpeg
adapty.io,Adapty,Business Tools,52287,356,387,31,0.0871,company-logos/adapty.io/logo_200x200.jpeg
hyperverge.co,HyperVerge,Business Tools,52287,38,41,3,0.0789,company-logos/hyperverge.co/logo_200x200.jpeg
appmetrica.yandex.com,AppMetrica,Analytics: Attribution,52287,2821,3041,220,0.078,company-logos/appmetrica.yandex.com/logo_200x200.jpeg
datadome.co,DataDome,Business Tools,52287,77,83,6,0.0779,company-logos/datadome.co/logo_200x200.jpeg
getkeepsafe.com,Keepsafe,Business Tools,52287,2733,2943,210,0.0768,company-logos/getkeepsafe.com/logo_200x200.jpeg
getstream.io,GetStream,Business Tools,52287,94,101,7,0.0745,company-logos/getstream.io/logo_200x200.jpeg
netfunnel.com,NetFunnel,Business Tools,52287,41,44,3,0.0732,
singular.net,Singular,Analytics: Attribution,52287,1251,1342,91,0.0727,company-logos/singular.net/logo_200x200.jpeg
bytebrew.com,ByteBrew,Analytics: Product,52287,243,259,16,0.0658,company-logos/bytebrew.com/logo_200x200.jpeg
bigo.sg,BIGO Ads,Ad Networks,52287,2464,2625,161,0.0653,company-logos/bigo.sg/logo_200x200.jpeg
parse.ly,Parsely,Analytics: Product,52287,65,69,4,0.0615,company-logos/parse.ly/logo_200x200.jpeg
mparticle.com,mParticle,Business Tools,52287,139,147,8,0.0576,company-logos/mparticle.com/logo_200x200.jpeg
opentelemetry.io,OpenTelemetry,Ad Networks,52287,455,481,26,0.0571,company-logos/opentelemetry.io/logo_200x200.png
pubnative.net,PubNative,Ad Networks,52287,1697,1793,96,0.0566,company-logos/pubnative.net/logo_200x200.jpeg
divkit.tech,Divkit,Development Tools,52287,1642,1733,91,0.0554,company-logos/divkit.tech/logo_200x200.png
datadoghq.com,Datadog,Development Tools,52287,735,773,38,0.0517,company-logos/datadoghq.com/logo_200x200.jpeg
contentsquare.com,Contentsquare,Business Tools,52287,99,104,5,0.0505,company-logos/contentsquare.com/logo_200x200.jpeg
superwall.com,Superwall,Business Tools,52287,180,189,9,0.05,company-logos/superwall.com/logo_200x200.jpeg
bidmachine.io,BidMachine,Ad Networks,52287,3030,3174,144,0.0475,company-logos/bidmachine.io/logo_200x200.jpeg
prebid.org,Prebid,Ad Networks,52287,367,383,16,0.0436,company-logos/prebid.org/logo_200x200.jpeg
inmobi.com,InMobi,Ad Networks,52287,6415,6688,273,0.0426,company-logos/inmobi.com/logo_200x200.jpeg
fullstory.com,Fullstory,Business Tools,52287,121,126,5,0.0413,company-logos/fullstory.com/logo_200x200.jpeg
mobilefuse.com,MobileFuse,Ad Networks,52287,973,1013,40,0.0411,company-logos/mobilefuse.com/logo_200x200.jpeg
appodeal.com,Appodeal,Ad Networks,52287,3493,3636,143,0.0409,company-logos/appodeal.com/logo_200x200.jpeg
forter.com,Forter,Analytics: Product,52287,100,104,4,0.04,company-logos/forter.com/logo_200x200.jpeg
ogury.com,Ogury,Ad Networks,52287,1269,1319,50,0.0394,
qualtrics.com,Qualtrics,Analytics: Product,52287,181,188,7,0.0387,company-logos/qualtrics.com/logo_200x200.jpeg
adyen.com,Adyen,Business Tools,52287,312,324,12,0.0385,company-logos/adyen.com/logo_200x200.jpeg
moengage.com,MoEngage,Analytics: Product,52287,391,406,15,0.0384,company-logos/moengage.com/logo_200x200.jpeg
yandex.com,Yandex,Ad Networks,52287,3031,3145,114,0.0376,company-logos/yandex.com/logo_200x200.jpeg
yandex.com,Yandex,Development Tools,52287,3031,3145,114,0.0376,company-logos/yandex.com/logo_200x200.jpeg
xsolla.com,Xsolla,Business Tools,52287,81,84,3,0.037,company-logos/xsolla.com/logo_200x200.jpeg
splunk.com,Splunk,Business Tools,52287,136,141,5,0.0368,company-logos/splunk.com/logo_200x200.jpeg
radar.com,Radar,Business Tools,52287,56,58,2,0.0357,company-logos/radar.com/logo_200x200.jpeg
apollographql.com,Apollo,Development Tools,52287,757,784,27,0.0357,company-logos/apollographql.com/logo_200x200.jpeg
purchasely.com,Purchasely,Business Tools,52287,114,118,4,0.0351,company-logos/purchasely.com/logo_200x200.jpeg
expo.dev,Expo,Development Tools,52287,1566,1619,53,0.0338,company-logos/expo.dev/logo_200x200.png
hicloud.com,Huawei,Ad Networks,52287,1024,1056,32,0.0313,company-logos/hicloud.com/logo_200x200.jpeg
developer.huawei.com,Huawei Analytics,Analytics: Attribution,52287,973,1003,30,0.0308,company-logos/developer.huawei.com/logo_200x200.jpeg
rudderstack.com,RudderStack,Business Tools,52287,104,107,3,0.0288,company-logos/rudderstack.com/logo_200x200.jpeg
youdaoads.com,Youdao,Ad Networks,52287,36,37,1,0.0278,company-logos/youdaoads.com/logo_200x200.jpeg
metrica.yandex.com,Yandex Metrica,Analytics: Attribution,52287,3220,3308,88,0.0273,company-logos/metrica.yandex.com/logo_200x200.jpeg
vungle.com,Vungle,Ad Networks,52287,9479,9732,253,0.0267,company-logos/vungle.com/logo_200x200.jpeg
qq.com,QQ,Ad Networks,52287,119,122,3,0.0252,
163.com,NetEase,Ad Networks,52287,439,450,11,0.0251,company-logos/163.com/logo_64x64.ico
plaid.com,Plaid,Business Tools,52287,162,166,4,0.0247,company-logos/plaid.com/logo_200x200.jpeg
kidoz.net,Kidoz,Ad Networks,52287,247,253,6,0.0243,company-logos/kidoz.net/logo_200x200.jpeg
qonversion.io,Qonversion,Business Tools,52287,168,172,4,0.0238,company-logos/qonversion.io/logo_200x200.jpeg
dynatrace.com,Dynatrace,Business Tools,52287,341,349,8,0.0235,company-logos/dynatrace.com/logo_200x200.jpeg
appharbr.com,AppHarbr,Business Tools,52287,173,177,4,0.0231,company-logos/appharbr.com/logo_200x200.jpeg
