company_domain,company_name,company_category,parent_company_domain,parent_company_name,company_logo_url,parent_company_logo_url,apple_app_ads_direct_installs_d30,apple_app_ads_reseller_installs_d30,apple_sdk_installs_d30,google_api_call_installs_d30,google_app_ads_direct_installs_d30,google_app_ads_reseller_installs_d30,google_sdk_installs_d30,installs_d30,trends_period,apple_app_ads_direct_pct_market_share,apple_sdk_pct_market_share,google_app_ads_direct_pct_market_share,google_sdk_pct_market_share,apple_app_ads_direct_pct_market_share_change,apple_sdk_pct_market_share_change,google_app_ads_direct_pct_market_share_change,google_sdk_pct_market_share_change,apple_app_ads_direct_total_apps,apple_sdk_total_apps,google_app_ads_direct_total_apps,google_sdk_total_apps,apple_app_ads_direct_apps_added,apple_sdk_apps_added,google_app_ads_direct_apps_added,google_sdk_apps_added,apple_app_ads_direct_apps_lost,apple_sdk_apps_lost,google_app_ads_direct_apps_lost,google_sdk_apps_lost
google.com,Google,Ad Networks,google.com,Google,company-logos/google.com/logo_200x200.jpeg,company-logos/google.com/logo_200x200.jpeg,350436816.0,294825953.0,710335854.0,113487539761.0,94186157105.0,84766616945.0,153055817570.0,446851730004.0,2026-Q1,95.47573228372212,81.15227701037546,94.3133344994461,61.447447505671136,-0.6086904162443106,0.17826609867044838,0.029213885746807538,-0.47748764539032906,175134.0,39186.0,404392.0,126771.0,67195.0,12046.0,29599.0,8805.0,2738.0,43.0,16807.0,7.0
facebook.com,Facebook,Ad Networks,facebook.com,Facebook,company-logos/facebook.com/logo_200x200.jpeg,company-logos/facebook.com/logo_200x200.jpeg,223450605.0,166857810.0,506955313.0,42701787168.0,60410982350.0,53907418069.0,88048158048.0,245965609363.0,2026-Q1,33.8357874537297,48.286288234928655,29.523642936271937,38.99800298582702,-14.823918213880107,-2.1265667163234117,-1.5009784589072854,1.0338613161391814,62066.0,23316.0,126590.0,80456.0,17397.0,6886.0,8212.0,5064.0,1100.0,125.0,6112.0,270.0
firebase.google.com,Firebase,Analytics: Product,google.com,Google,company-logos/firebase.google.com/logo_200x200.png,company-logos/google.com/logo_200x200.jpeg,,,558373405.0,113082181206.0,,,137975596546.0,251616151157.0,2026-Q1,,62.149232712738424,,96.15526300482773,,1.3549598031031589,,0.0021113003668789226,,30010.0,,99188.0,,9578.0,,8747.0,,144.0,,19.0
unity.com,Unity,Ad Networks,unity.com,Unity,company-logos/unity.com/logo_200x200.jpeg,company-logos/unity.com/logo_200x200.jpeg,239245827.0,133292126.0,238426490.0,27292733741.0,68464167601.0,31849394965.0,63656457229.0,191873717979.0,2026-Q1,34.917381278177864,29.328804854308615,23.21777155850971,16.37260794540202,-19.486040759970777,-8.34816765774076,-2.4381914922905157,1.6041281593322305,64050.0,14162.0,99552.0,33778.0,15375.0,3454.0,6210.0,3614.0,1292.0,30.0,5499.0,179.0
applovin.com,AppLovin,Ad Networks,applovin.com,AppLovin,company-logos/applovin.com/logo_200x200.jpeg,company-logos/applovin.com/logo_200x200.jpeg,249288610.0,16194970.0,253896648.0,22726337156.0,73246999368.0,5965387797.0,67186855622.0,169644960171.0,2026-Q1,34.93918760528367,20.819268125996647,26.207917905661475,17.30567888787638,-17.287114197325543,-7.627745440176713,-2.7898157830201877,0.9925540656610566,64090.0,10053.0,112373.0,35703.0,16568.0,2558.0,6025.0,3106.0,1147.0,68.0,5626.0,220.0
kotlinlang.org,Kotlin,Development Tools,kotlinlang.org,Kotlin,company-logos/kotlinlang.org/logo_200x200.png,company-logos/kotlinlang.org/logo_200x200.png,,,,,,,147373190105.0,147373190105.0,2026-Q1,,,,85.78533067064778,,,,-0.11635984945702418,,,,88491.0,,,,7872.0,,,,181.0
liftoff.io,LiftOff,Ad Networks,liftoff.io,LiftOff,company-logos/liftoff.io/logo_200x200.jpeg,company-logos/liftoff.io/logo_200x200.jpeg,247314779.0,193166788.0,106981284.0,14274661305.0,70650588172.0,55362843311.0,53672364430.0,194507920069.0,2026-Q1,0.47919403815016925,,0.22669232114745497,0.05234891521414584,-19.045718035909236,,-5.658515211286662,3.682812514350031,879.0,,972.0,108.0,0.0,,0.0,1.0,0.0,,0.0,2.0
vungle.com,Vungle,Ad Networks,liftoff.io,LiftOff,company-logos/vungle.com/logo_200x200.jpeg,company-logos/liftoff.io/logo_200x200.jpeg,247172913.0,88832469.0,106981284.0,14272313178.0,70646277058.0,24076149738.0,53664475077.0,163102201717.0,2026-Q1,28.621894642730588,7.884109594714933,20.15042854644044,19.917792814626676,-18.541110758667905,-6.713969830657867,-1.1149295270426294,3.624732080255645,52502.0,3807.0,86400.0,20546.0,13006.0,1070.0,6471.0,2617.0,987.0,99.0,4706.0,154.0
square.com,Square,Business Tools,square.com,Square,company-logos/square.com/logo_200x200.jpeg,company-logos/square.com/logo_200x200.jpeg,,,3503356.0,20441.0,,,115207892990.0,115211416787.0,2026-Q1,,0.06212852320500342,,72.22405335711655,,-0.7245369206145233,,-0.063733203156773,,30.0,,74502.0,,9.0,,6681.0,,0.0,,170.0
inmobi.com,InMobi,Ad Networks,inmobi.com,InMobi,company-logos/inmobi.com/logo_200x200.jpeg,company-logos/inmobi.com/logo_200x200.jpeg,238344896.0,290716226.0,154156028.0,12012056856.0,73079600354.0,85140045612.0,38635655350.0,209550575322.0,2026-Q1,28.489421205562792,10.36925052291507,19.44096554136785,7.99532737460496,-20.633561738475684,-3.1318010726787033,-2.0777299814095396,3.223878698430078,52259.0,5007.0,83358.0,16495.0,11875.0,1451.0,5619.0,1912.0,974.0,36.0,4719.0,150.0
