company_domain,company_name,company_category,parent_company_domain,parent_company_name,company_logo_url,parent_company_logo_url,apple_app_ads_direct_installs_d30,apple_sdk_installs_d30,google_app_ads_direct_installs_d30,google_sdk_installs_d30,installs_d30,apple_app_ads_direct_percentage,apple_sdk_percentage,google_app_ads_direct_percentage,google_sdk_percentage,apple_app_ads_direct_total_apps,apple_sdk_total_apps,google_app_ads_direct_total_apps,google_sdk_total_apps,trends_period,apple_app_ads_direct_pct_market_share_change,apple_sdk_pct_market_share_change,google_app_ads_direct_pct_market_share_change,google_sdk_pct_market_share_change,apple_app_ads_direct_apps_added,apple_sdk_apps_added,google_app_ads_direct_apps_added,google_sdk_apps_added,apple_app_ads_direct_apps_lost,apple_sdk_apps_lost,google_app_ads_direct_apps_lost,google_sdk_apps_lost
google.com,Google,Ad Networks,google.com,Google,company-logos/google.com/logo_200x200.jpeg,company-logos/google.com/logo_200x200.jpeg,862521622.0,1692618180.0,7715784960.0,15817717748.0,50308840491.0,0.9609842158500153,0.8109659056130256,0.9426145724572622,0.9827103189803444,552988.0,150750.0,1201483.0,356381.0,2026-Q2,0.2228005543419461,-1.2578460406488725,-0.057407550962649406,0.14119241680257694,66504.0,35197.0,108516.0,59046.0,27798.0,1568.0,113559.0,1272.0
facebook.com,Facebook,Ad Networks,facebook.com,Facebook,company-logos/facebook.com/logo_200x200.jpeg,company-logos/facebook.com/logo_200x200.jpeg,510715851.0,1353918352.0,5316556150.0,7379653684.0,21842223152.0,0.305680882595093,0.48267735814409013,0.2796604745822217,0.5426421216286249,190080.0,89133.0,372150.0,192861.0,2026-Q2,-0.8770747197379691,-1.9285703490676889,2.0351131660994013,0.4399850115635237,19329.0,20694.0,49085.0,33504.0,7986.0,1284.0,42983.0,1758.0
firebase.google.com,Firebase,Analytics: Product,google.com,Google,company-logos/firebase.google.com/logo_200x200.png,company-logos/google.com/logo_200x200.jpeg,,1383852453.0,,13262606145.0,32056722476.0,,0.6301340515394503,,0.934739340408433,,77736.0,,226720.0,2026-Q2,,0.29454963228977277,,-0.18052795465788848,,19404.0,,37036.0,,1128.0,,894.0
unity.com,Unity,Ad Networks,unity.com,Unity,company-logos/unity.com/logo_200x200.jpeg,company-logos/unity.com/logo_200x200.jpeg,602301943.0,580215721.0,4903231525.0,4465038294.0,18824418560.0,0.3474630095739926,0.2749739854318418,0.24101404144594527,0.3414749554989748,200902.0,50553.0,293372.0,119251.0,2026-Q2,-2.8219412073140675,-8.98661761779601,-2.8048468216209854,2.3735810989719126,16947.0,8507.0,32905.0,22628.0,8739.0,565.0,42464.0,1117.0
applovin.com,AppLovin,Ad Networks,applovin.com,AppLovin,company-logos/applovin.com/logo_200x200.jpeg,company-logos/applovin.com/logo_200x200.jpeg,583177067.0,657417807.0,5179834625.0,5330472518.0,13875691671.0,0.3068335254404742,0.2426241047928016,0.22918331410306814,0.34716057171612474,192764.0,38265.0,319038.0,106207.0,2026-Q2,-5.118692201777201,-8.996563805918651,-3.6340599637980295,2.974438603142451,11827.0,6626.0,28461.0,20846.0,8427.0,618.0,41691.0,1180.0
kotlinlang.org,Kotlin,Development Tools,kotlinlang.org,Kotlin,company-logos/kotlinlang.org/logo_200x200.png,company-logos/kotlinlang.org/logo_200x200.png,,,,15430796204.0,15430796204.0,,,,0.8443703386584349,,,,314709.0,2026-Q2,,,,-0.3419702522650916,,,,51861.0,,,,2121.0
liftoff.io,LiftOff,Ad Networks,liftoff.io,LiftOff,company-logos/liftoff.io/logo_200x200.jpeg,company-logos/liftoff.io/logo_200x200.jpeg,577158473.0,319846298.0,4960639275.0,4132013604.0,14777308994.0,0.2637387970172426,0.07743159698843116,0.19501866036669768,0.22165641453174406,55191.0,4504.0,85607.0,25439.0,2026-Q2,0.09009325790817838,-8.470419150719287,2.6769222128693864,4.31071724816785,6022.0,891.0,13139.0,5354.0,2227.0,162.0,11209.0,378.0
vungle.com,Vungle,Ad Networks,liftoff.io,LiftOff,company-logos/vungle.com/logo_200x200.jpeg,company-logos/liftoff.io/logo_200x200.jpeg,576909212.0,319846298.0,4958767053.0,4131822553.0,12387202184.0,0.26333890051986547,0.07743159698843116,0.19457432238457725,0.22160383948085893,107802.0,9008.0,167980.0,50726.0,2026-Q2,-0.1804022819354494,-8.470419150719287,2.4616082566569735,4.304919617092358,11496.0,1782.0,25700.0,10672.0,4368.0,324.0,22262.0,752.0
square.com,Square,Business Tools,square.com,Square,company-logos/square.com/logo_200x200.jpeg,company-logos/square.com/logo_200x200.jpeg,,3862155.0,,10295725886.0,10304445684.0,,0.0006580155475301463,,0.7244466475894339,,115.0,,265853.0,2026-Q2,,7.588049880306912,,-0.03930852791784913,,33.0,,44382.0,,0.0,,1686.0
mobvista.com,Mobvista,Ad Networks,mobvista.com,Mobvista,company-logos/mobvista.com/logo_200x200.jpeg,company-logos/mobvista.com/logo_200x200.jpeg,496178861.0,244492205.0,4538664853.0,3876546300.0,17145686331.0,0.22383383124367812,0.07023933402705515,0.16930739959881583,0.21652659170966554,46888.0,3944.0,76358.0,24620.0,2026-Q2,-4.863648114595034,-11.634406654585781,-2.2880832800045696,4.190768797753302,3175.0,798.0,9200.0,5160.0,2213.0,278.0,11271.0,367.0
inmobi.com,InMobi,Ad Networks,inmobi.com,InMobi,company-logos/inmobi.com/logo_200x200.jpeg,company-logos/inmobi.com/logo_200x200.jpeg,588195534.0,392621170.0,4978712145.0,2943594953.0,16741597283.0,0.252838088965209,0.09868702944237008,0.17779187794053916,0.14957601976821913,158610.0,18006.0,239928.0,50860.0,2026-Q2,-3.5397845101847687,-8.278252240964191,-1.1020461815218114,6.146405533639077,11804.0,3294.0,28815.0,11488.0,6456.0,348.0,32367.0,832.0
admob.com,AdMob,Ad Networks,google.com,Google,company-logos/admob.com/logo_200x200.jpeg,company-logos/google.com/logo_200x200.jpeg,51.0,322293138.0,87.0,6909887881.0,7237333082.0,9.409329350050574e-06,0.15896431413356185,9.142756833753595e-06,0.5184350660567961,4.0,19056.0,4.0,128038.0,2026-Q2,-53.39029804331816,-2.722902154489277,-49.81772250932597,3.5517276224565504,0.0,4634.0,0.0,25170.0,4.0,606.0,4.0,880.0
bytedance.com,ByteDance,Ad Networks,bytedance.com,ByteDance,company-logos/bytedance.com/logo_200x200.jpeg,company-logos/bytedance.com/logo_200x200.jpeg,432415644.0,285247136.0,4643681470.0,4281134650.0,16425822666.0,0.20829902848674461,0.08881679622941789,0.1530643778079692,0.2109686577589509,43752.0,5228.0,68666.0,71054.0,2026-Q2,-2.7953502883440398,-3.613122615825934,-0.29279662402318596,5.180178767944982,3758.0,1217.0,9024.0,15425.0,1959.0,150.0,9475.0,1054.0
mintegral.com,Mintegral,Ad Networks,mobvista.com,Mobvista,company-logos/mintegral.com/logo_200x200.jpeg,company-logos/mobvista.com/logo_200x200.jpeg,493086620.0,239069294.0,4456047431.0,3773156991.0,17532011255.0,0.22084166451036202,0.0656026198200404,0.16245033197350064,0.20616930668529326,92460.0,7296.0,146900.0,46730.0,2026-Q2,-4.728013376778482,-12.708620008691613,-2.269964690706403,4.631856021416371,6364.0,1436.0,17870.0,9902.0,4372.0,552.0,21830.0,646.0
ironsrc.com,ironSource,Ad Networks,unity.com,Unity,company-logos/ironsrc.com/logo_200x200.jpeg,company-logos/unity.com/logo_200x200.jpeg,834933403.0,248790740.0,5579268836.0,3306495693.0,18792373520.0,0.2341229328879584,0.06699516435086002,0.15500812791082522,0.19718648370548958,92796.0,6898.0,131942.0,44392.0,2026-Q2,-4.891671461694556,-15.94984506091198,-4.595754287769449,2.8609191267320733,6209.0,1266.0,13826.0,8906.0,4366.0,664.0,20686.0,726.0
